미래 도시 모델링,future city modeling,"미래 도시의 3D 모델을 설계합니다. 고층 빌딩, 공원, 다리, 다양한 교통수단(예: 하늘을 나는 자동차, 지하철 등)을 포함하고 날씨 효과, 낮과 밤의 변화, 사람들이 움직이는 모습을 추가하여 도시환경을 표현합니다.","Design 3D models of future cities. It represents an urban environment by including skyscrapers, parks, bridges, and various modes of transportation (e.g. flying cars, subways, etc.) and adding weather effects, day and night changes, and people moving around.","3D 모델링, 조명, 텍스처링","3D modeling, lighting, texturing"
캐릭터 애니메이션,character animation,"다양한 행동(걷기, 뛰기, 점프 등)을 수행하는 캐릭터를 설계하고 애니메이션으로 표현합니다. 캐릭터의 표정과 몸짓을 통해 감정을 미세하게 표현하고, 소품이나 환경을 추가해 맥락을 부여합니다.","Design and animate characters performing various actions (walking, running, jumping, etc.). Emotions are expressed in minute detail through the character's facial expressions and gestures, and context is given by adding props or environments.","리깅, 캐릭터 애니메이션, 모션 캡쳐","Rigging, character animation, motion capture"
Realistic 자동차 렌더링,Realistic car rendering,"마야를 사용해 고품질의 사진처럼 사실적인 자동차를 모델링하고 렌더링합니다. 내부 디자인, 조명, 반사 표면 및 텍스처와 같은 세부 사항을 추가하고, 현실적인 환경에 자동차를 통합하여 시각적 매력 추가합니다.","Model and render high-quality, photorealistic cars using Maya. Add details such as interior design, lighting, reflective surfaces and textures, and integrate the car into a realistic environment to add visual appeal.","Photo-realistic  렌더링, Surface 모델링, material 텍스쳐링","Photo-realistic rendering, surface modeling, material texturing"
가상현실(VR) 환경 모델링,Virtual reality (VR) environment modeling,"가상 현실 경험을 위한 몰입감 있는 3D 환경을 설계 및 모델링 합니다. 이 장면은 숲, 외계 행성 또는 수중 세계일 수 있으며 성능을 최적화하고 원활한 폴리곤 수와 상호작용 요소를 포함해 VR에 적합한 모델을 제작해야 합니다.","Design and model immersive 3D environments for virtual reality experiences. This scene could be a forest, an alien planet, or an underwater world, and you need to optimize performance and create a VR-ready model with a smooth polygon count and interactive elements.","VR, 최적화, 환경 디자인, 인터랙션 디자인","VR, optimization, environment design, interaction design"
애니메이션 단편 영화,animated short film,"간단한 스토리가 있는 1~2분 길이의 CG 단편 영화를 제작합니다. 캐릭터 애니메이션, 간단한 줄거리, 사운드 디자인 및 후반 제작 효과를 포함하며. 성우 및 음향 효과는 다른 사람과 협업할 수 있습니다.","Create a 1-2 minute long CG short film with a simple story. Includes character animation, brief plot, sound design, and post-production effects. Voice actors and sound effects can collaborate with others.","스토리보드, 애니메이션, 합성, 사운드 디자인","Storyboarding, animation, compositing, sound design"
판타지 생명체 디지털 조각,fantasy creature digital sculpture,"ZBrush 또는 유사한 프로그램을 사용해 판타지 생명체(예: 드래곤, 신화적 생명체) 조각을 세밀하게 모델링합니다. 해부학, 텍스처 및 비늘, 털, 근육 등의 세부 표현이 되어야 하며. 최종 결과물은 고해상도 정적 모델이어야 합니다","Model pieces of fantasy creatures (e.g. dragons, mythical creatures) in detail using ZBrush or a similar program. Anatomy, texture, scales, fur, muscles, etc. must be expressed in detail. The final result should be a high-resolution static model","디지털 조각, 텍스쳐링, 해부학","Digital sculpting, texturing, anatomy"
뮤직비디오용 모션 그래픽,Motion graphics for music videos,"선택한 곡에 맞춰 모션 그래픽 시퀀스를 제작합니다. 애니메이션된 타이포그래피, 추상적인 형상 및 동적 전환을 사용해 리듬과 곡의 분위기를 시각적으로 향상시킬 수 있어야 합니다","Create a motion graphics sequence to match the song you choose. You should be able to visually enhance the rhythm and mood of the song using animated typography, abstract shapes, and dynamic transitions.","모션 그래픽, 애프터 이펙트, 애니메이션 동기화","Motion graphics, after effects, animation synchronization"
실시간 상호작용 게임 에셋,Real-time interactive game assets,"Unity 또는 Unreal Engine과 같은 게임 엔진을 위한 완전한 기능의 3D 에셋(무기, 차량, 캐릭터 등)을 설계합니다. 에셋에는 세밀한 텍스처, 애니메이션 및 물리 기반 상호작용을 포함해야 합니다","Design fully functional 3D assets (weapons, vehicles, characters, etc.) for game engines like Unity or Unreal Engine. Assets should include detailed textures, animations, and physically-based interactions","게임개발, 에셋디자인, 리깅, 텍스쳐링","Game development, asset design, rigging, texturing"
시각효과(VFX) 장면 통합,Visual effects (VFX) scene integration,"폭발, 마법, 날씨 효과를 실사 영상에 추가합니다. 조명, 움직임, 카메라 각도를 맞춰 CG 요소를 영상에 자연스럽게 융합시키는 것이 과제입니다","Add explosions, magic, and weather effects to your live-action videos. The challenge is to naturally integrate CG elements into the video by matching lighting, movement, and camera angles.","VFX, 합성, 트래킹, 조명통합","VFX, compositing, tracking, lighting integration"
건축 시각화,architectural visualization,"사실적인 건축 내부 또는 외부(주택, 사무실, 공공 장소 포함)를 설계합니다. 가구, 조명, 장식 등의 세부 사항을 추가하고 건축 프레젠테이션에 사용할 수 있는 포토리얼 렌더를 목표로 합니다.","Design realistic architectural interiors or exteriors, including homes, offices, and public spaces. The goal is to create photorealistic renders that can be used in architectural presentations, adding details such as furniture, lighting, and decoration.","건축 모델링, 렌더링, 조명 디자인, 텍스쳐링","Architectural modeling, rendering, lighting design, texturing"
